Country;Esperance;Bien Etre;Heureux;Empreinte;Ineg_rev;Ineg_esp;Ineg_BE;Index; PIB ;Population;Continent;Region;Regime_poli;liberte_internet;nb_annee_scolaire_moy;pct_popu_acces_internet;continent;Régime_simp;index_quali
Afghanistan;59,7;3,8;12,4;0,8;0,43;38,3;3,4;20,2;691;29726803;AS;Middle East and North Africa;Régimes présidentiels sans Premier ministre;NF;Moins de 10;Moins de 25;AS;Republique;0-25
Albania;77,3;5,5;34,4;2,2;0,17;69,7;5,1;36,8;4247;2900489;EU;Post-communist;Régimes républicains parlementaires classiques;PF;Entre 10 et 15;Entre 50 et 75;EU;Republique;25-50
Algeria;74,3;5,6;30,5;2,1;0,24;60,5;5,2;33,3;5584;37439427;AF;Middle East and North Africa;Régimes semi-présidentiels;NF;Entre 10 et 15;Moins de 25;AF;Republique;25-50
Argentina;75,9;6,5;40,2;3,1;0,16;68,3;6;35,2;14357;42095224;SA;Americas;Régimes présidentiels sans Premier ministre;F;Plus de 15;Entre 50 et 75;SA;Republique;25-50
Armenia;74,4;4,3;24;2,2;0,22;66,9;3,7;25,7;3566;2978339;AS;Post-communist;Régimes présidentiels avec Premier ministre;F;Entre 10 et 15;Entre 25 et 50;AS;Republique;25-50
Australia;82,1;7,2;53,1;9,3;0,08;78,6;6,9;21,2;67646;22728254;OC;Asia Pacific;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;F;Plus de 15;Plus de 75;OC;Monarchie;0-25
Austria;81;7,4;54,4;6,1;0,07;78;7,1;30,5;48324;8429991;EU;Europe;Régimes républicains parlementaires classiques;F;Plus de 15;Plus de 75;EU;Republique;25-50
Bangladesh;70,8;4,7;23,3;0,7;0,27;56,6;4,3;38,4;859;155257387;AS;Asia Pacific;Régimes républicains parlementaires classiques;PF;Moins de 10;Moins de 25;AS;Republique;25-50
Belarus;70,9;5,7;34;5,1;0,13;66,7;5,3;21,7;6722;9464000;EU;Post-communist;Régimes présidentiels avec Premier ministre;NF;Plus de 15;Entre 50 et 75;EU;Republique;0-25
Belgium;80,4;6,9;49,5;7,4;0,09;77,2;6,6;23,7;44731;11128246;EU;Europe;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;F;Plus de 15;Plus de 75;EU;Monarchie;0-25
Belize;69,8;6,1;34,2;2,5;0,18;61,7;5,7;33,8;4674;336707;NA;Americas;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;F;Entre 10 et 15;Entre 25 et 50;NoA;Monarchie;25-50
Benin;59,2;3,2;9,9;1,4;0,44;37,3;2,8;13,4;808;10049792;AF;Sub Saharan Africa;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Moins de 25;AF;Republique;0-25
Bhutan;68,7;5,6;27,4;2,3;0,27;54,5;5,2;28,6;2452;743711;AS;Asia Pacific;Monarchies constitutionnelles avec monarque ayant un pouvoir effectif;PF;Entre 10 et 15;Entre 25 et 50;AS;Monarchie;25-50
Bolivia;67,5;6;25,6;3;0,35;47,9;5,5;23,3;2645;10238762;SA;Americas;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Entre 25 et 50;SA;Republique;0-25
Bosnia and Herzegovina;76,2;4,8;28,6;3,1;0,19;71,1;4,2;25,3;4495;3828419;EU;Post-communist;Régimes républicains parlementaires classiques;PF;Entre 10 et 15;Entre 50 et 75;EU;Republique;25-50
Botswana;64,2;4,8;21,3;3,8;0,28;50,8;4,3;16,6;6936;2132822;AF;Sub Saharan Africa;Régime républicain hybride;F;Entre 10 et 15;Moins de 25;AF;Republique;0-25
Brazil;73,9;6,9;39;3,1;0,22;63,3;6,3;34,3;12157;202401584;SA;Americas;Régimes présidentiels sans Premier ministre;PF;Plus de 15;Entre 50 et 75;SA;Republique;25-50
Bulgaria;73,9;4,2;24;3,3;0,19;68,1;3,7;20,4;7333;7305888;EU;Post-communist;Régimes républicains parlementaires classiques;F;Entre 10 et 15;Entre 50 et 75;EU;Republique;0-25
Burkina Faso;58;4;12,6;1,2;0,43;36,5;3,6;17,9;673;16590813;AF;Sub Saharan Africa;Régimes semi-présidentiels;PF;Moins de 10;Moins de 25;AF;Republique;0-25
Burundi;55,8;3,4;9,5;0,8;0,48;33;3;15,6;244;10124572;AF;Sub Saharan Africa;Régimes présidentiels sans Premier ministre;NF;Entre 10 et 15;Moins de 25;AF;Republique;0-25
Cambodia;67,5;3,9;18,2;1,2;0,28;54,2;3,5;25,6;946;14832255;AS;Asia Pacific;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;PF;Entre 10 et 15;Moins de 25;AS;Monarchie;25-50
Cameroon;54,6;4,2;11,6;1,2;0,47;33,1;3,7;16,7;1222;21659488;AF;Sub Saharan Africa;Régimes présidentiels avec Premier ministre;NF;Entre 10 et 15;Moins de 25;AF;Republique;0-25
Canada;81,7;7,4;53,9;8,2;0,09;77,8;7,1;23,9;52738;34751476;NA;Americas;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;F;Plus de 15;Plus de 75;NoA;Monarchie;0-25
Chad;50,8;4;9,6;1,5;0,51;27,3;3,7;12,8;973;12715465;AF;Sub Saharan Africa;Régimes présidentiels avec Premier ministre;NF;Moins de 10;Moins de 25;AF;Republique;0-25
Chile;81,1;6,6;44,7;4,4;0,14;74,9;6,1;31,7;15253;17388437;SA;Americas;Régimes présidentiels sans Premier ministre;F;Plus de 15;Entre 50 et 75;SA;Republique;25-50
China;75,4;5,1;30,6;3,4;0,17;68,6;4,6;25,7;6265;1350695000;AS;Asia Pacific;État à parti unique;NF;Entre 10 et 15;Entre 25 et 50;AS;Dictature;25-50
Colombia;73,7;6,4;35,1;1,9;0,24;63,1;5,7;40,7;7885;46881018;SA;Americas;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Entre 50 et 75;SA;Republique;25-50
Comoros;62,6;4;15,4;1;0,36;43,3;3,7;23,1;750;733661;AF;Sub Saharan Africa;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Moins de 25;AF;Republique;0-25
Costa Rica;79,1;7,3;48,2;2,8;0,15;72,6;6,8;44,7;9733;4654148;NA;Americas;Régimes présidentiels sans Premier ministre;F;Entre 10 et 15;Entre 25 et 50;NoA;Republique;25-50
Côte d'Ivoire;50,8;3,8;10,3;1,3;0,45;30,6;3,5;14,4;1281;21102641;AF;Sub Saharan Africa;Régimes semi-présidentiels;PF;Moins de 10;Moins de 25;AF;Republique;0-25
Croatia;77;6;39,6;3,9;0,12;73,5;5,5;30,2;13236;4267558;EU;Post-communist;Régimes républicains parlementaires classiques;F;Entre 10 et 15;Entre 50 et 75;EU;Republique;25-50
Cyprus;79,8;6,2;42,3;4,2;0,12;76,6;5,7;30,7;28868;1129303;EU;Europe;Régimes présidentiels sans Premier ministre;F;Entre 10 et 15;Entre 50 et 75;EU;Republique;25-50
Czech Republic;78,2;6,3;43,4;5,2;0,09;75,5;5,9;27,3;19641;10510785;EU;Post-communist;Régimes semi-présidentiels;F;Plus de 15;Plus de 75;EU;Republique;25-50
Denmark;79,8;7,5;54,4;5,5;0,07;76,8;7,2;32,7;57636;5591572;EU;Europe;Monarchies constitutionnelles avec monarque ayant des fonctions symboliques;F;Plus de 15;Plus de 75;EU;Monarchie;25-50
Djibouti;61,3;4,4;15,1;2,2;0,42;41,4;3,8;16,4;1587;853069;AF;Sub Saharan Africa;Régimes semi-présidentiels;NF;Moins de 10;Moins de 25;AF;Republique;0-25
Dominican Republic;73,1;4,8;23,7;1,5;0,3;60,8;4,1;30,3;5967;10155036;NA;Americas;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Entre 25 et 50;NoA;Republique;25-50
Ecuador;75,4;6;34,3;2,2;0,22;64,1;5,5;37;5702;15419493;SA;Americas;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Entre 25 et 50;SA;Republique;25-50
Egypt;70,7;4,2;21,8;2,2;0,23;61,3;3,7;23,8;3226;85660902;AF;Middle East and North Africa;Régimes semi-présidentiels;NF;Entre 10 et 15;Entre 25 et 50;AF;Republique;0-25
El Salvador;72,5;5,9;32,2;2,1;0,22;62,5;5,3;35,6;3922;6072233;NA;Americas;Régimes présidentiels sans Premier ministre;PF;Entre 10 et 15;Entre 25 et 50;NoA;Republique;25-50
Estonia;76,2;5,4;35;6,9;0,12;72,6;5;17,9;17491;1322696;EU;Post-communist;Régimes républicains parlementaires classiques;F;Plus de 15;Plus de 75;EU;Republique;0-25
Ethiopia;62,8;4,6;17,8;1;0,36;43,8;4,2;26,7;470;92191211;AF;Sub Saharan Africa;Régimes républicains parlementaires classiques;NF;Moins de 10;Moins de 25;AF;Republique;25-50
Finland;80,4;7,4;54,6;5,9;0,06;77,6;7,2;31,3;47416;5413971;EU;Europe;Régimes républicains parlementaires classiques;F;Plus de 15;Plus de 75;EU;Republique;25-50
France;81,8;6,6;48,1;5,1;0,09;78,5;6,3;30,4;40850;65639975;EU;Europe;Régimes semi-présidentiels;F;Plus de 15;Plus de 75;EU;Republique;25-50
Gabon;63,3;4;15,4;2;0,36;45,8;3,5;17,5;10642;1613489;AF;Sub Saharan Africa;Régimes présidentiels avec Premier ministre;NF;Entre 10 et 15;Moins de 25;AF;Republique;0-25
Georgia;74,6;4,3;24,7;1,6;0,2;66,9;3,8;31,1;4143;3825000;AS;Post-communist;Régimes semi-présidentiels;F;Entre 10 et 15;Entre 25 et 50;AS;Republique;25-50
Germany;80,6;6,7;48,2;5,3;0,08;77,6;6,4;29,8;44011;80425823;EU;Europe;Régimes républicains parlementaires classiques;F;Plus de 15;Plus de 75;EU;Republique;25-50
Ghana;61;5,1;18,8;2;0,38;42,2;4,6;21,4;1642;25544565;AF;Sub Saharan Africa;Régimes présidentiels sans Premier ministre;F;Entre 10 et 15;Moins de 25;AF;Republique;0-25
